Animated, Adventurous, Analytical, Adaptable, Strengths
Playful, Persuasive, Persistent, Peaceful , Strengths
Sociable, Strong willed, Self sacrificing, Submissive , Strengths
Convincing, Competitive, Considerate, Controlled , Strengths
Refreshing, Resourceful, Respectful, Reserved , Strengths
Spirited, Self reliant, Sensitive, Satisfied , Strengths
Promoter, Positive, Planner, Patient , Strengths
Spontaneous, Sure, Schedled, Shy , Strengths
Optimistic, Outspoken, Orderly, Obliging , Strengths
Funny, Forceful, Faithful, Friendly , Strengths
Delightful, Daring, Detailed, Diplomatic , Strengths
Cheerful, Confident, Cultured, Consistent , Strengths
Inspiring, Independent, Idealistic, Inoffensive , Strengths
Demonstrative, Decisive, Deep, Dry humor , Strengths
Mixes, easily, Mover, Musical Mediator , Strengths
Talker, Tenacous, Thoughtful, Tolerant , Strengths
Lively, Leader, Loyal, Listener , Strengths
Cute, Chief, Chart, maker Contented , Strengths
Popular, Productive, Perfectionist, Permissive , Strengths
Bouncy, Bold, Behaved, Balanced, Strengths
Brassy, Bossy, Boastful, Blank, Weaknesses
Undisciplined, Unsympathetic, Unforgiving, Unenthusiastic, Weaknesses
Repetitious, Resiteant, Resentful, Reticent, Weaknesses
Forgetful, Frank, Fussy, Fearful, Weaknesses
Interrupts, Impatient, Insecure, Indecisive, Weaknesses
luNpredictable, Unaffectionate, Unpopular, Uninvolved, Weaknesses
Haphazard, Headstrong, Hardto please, Hesitant, Weaknesses
Permissive, Prous, Pessimistic, Plain, Weaknesses
Easily angered, Argumentative, Alienated, Aimless, Weaknesses
Naïve, Nervy, Negative, Nonchanlant, Weaknesses
Wants credit, Workaholic, Withdrawn, Worrier, Weaknesses
Talkative, Tactless, Too sensitive, Timid, Weaknesses
Disorganized, Domineering, Depressed, Doubtful, Weaknesses
Inconsistent, Intolerant, Introvert, Indifference, Weaknesses
Messy, Manipulative, Moody, Mumbles, Weaknesses
Show off, Stubborn, Skeptical, Slow, Weaknesses
Loud, Lord, over others, Loner Lazy, Weaknesses
Scatter, brain Short tempered, Suspicious, Sluggish, Weaknesses
Restless, Rash, Revengeful, Reluctant, Weaknesses
Changeable, Crafty, Critical, Compromise, Weaknesses